Subject,Year,URL,Understanding of the learning area,Description/Achievement,Content description,Page count WRT PDF's,Count of pages(330 words per page)
Health and Physical Education,Year 10,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/health-and-physical-education/year-10?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5500,498,10286,41,49
HASS F-6,Foundation Year,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/hass-f-6/foundation-year?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3597,365,8124,32,36
HASS F-6,Year 1,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/hass-f-6/year-1?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3597,396,12502,41,49
HASS F-6,Year 2,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/hass-f-6/year-2?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3597,465,14578,46,56
HASS F-6,Year 3,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/hass-f-6/year-3?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3597,370,25175,72,88
HASS F-6,Year 4,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/hass-f-6/year-4?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3597,425,28283,80,97
HASS F-6,Year 5,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/hass-f-6/year-5?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3597,431,29649,82,102
HASS F-6,Year 6,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/hass-f-6/year-6?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3597,491,29790,81,102
Civics and Citizenship 7-10,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/civics-and-citizenship-7-10/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3597,294,21581,63,77
Civics and Citizenship 7-10,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/civics-and-citizenship-7-10/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3597,294,20897,62,75
Civics and Citizenship 7-10,Year 9,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/civics-and-citizenship-7-10/year-9?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3597,290,14704,48,56
Civics and Citizenship 7-10,Year 10,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/civics-and-citizenship-7-10/year-10?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3597,347,15874,51,60
Economics and Business 7-10,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/economics-and-business-7-10/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3597,337,18729,53,68
Economics and Business 7-10,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/economics-and-business-7-10/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3597,351,18795,51,68
